n,density,symmetric,norm,method,solver,est,ref,rel_err,sec,ok,error,finite_err,finite_sec,comparable
447,0.05,False,1,hager,gmres,32.365532410095305,15622.945244833767,0.9979283334926365,2.483394879847765,True,,True,True,True
447,0.05,False,1,hager,direct,16393.897694544117,15622.945244833767,0.04934744618434163,0.15642309375107288,True,,True,True,True
447,0.05,False,1,hager-higham,auto,16393.89769454412,15622.945244833767,0.049347446184341864,0.12634441116824746,True,,True,True,True
447,0.05,False,1,hager-higham,lu,16393.89769454412,15622.945244833767,0.049347446184341864,0.11576055688783526,True,,True,True,True
447,0.05,False,1,hager-higham,lsmr,698.6352001771652,15622.945244833767,0.9552814665078474,0.47369912825524807,True,,True,True,True
447,0.05,False,1,hager-higham,cg,,15622.945244833767,,5.734872415661812,True,,False,True,False
447,0.05,False,1,hager-higham,gmres,42.713707722986946,15622.945244833767,0.9972659631680453,0.21746042603626847,True,,True,True,True
447,0.05,False,1,hager-higham,direct,16393.89769454412,15622.945244833767,0.049347446184341864,0.23839730489999056,True,,True,True,True
447,0.05,False,1,power,auto,365.40026802932755,15622.945244833767,0.976611307131723,0.15527908271178603,True,,True,True,True
447,0.05,False,1,power,lu,321.65351761977126,15622.945244833767,0.9794114673911352,0.15334904193878174,True,,True,True,True
447,0.05,False,1,power,lsmr,26.848799367787677,15622.945244833767,0.9982814508438052,2.7484234091825783,True,,True,True,True
447,0.05,False,1,power,cg,,15622.945244833767,,1.2930910801514983,True,,False,True,False
447,0.05,False,1,power,gmres,7.171900398395689,15622.945244833767,0.9995409380058624,1.0033208979293704,True,,True,True,True
447,0.05,False,1,power,direct,126.84714877983197,15622.945244833767,0.9918807147569195,1.420000720769167,True,,True,True,True
447,0.05,False,1,oettli-prager,auto,16393.89769454412,15622.945244833767,0.049347446184341864,0.15666765021160245,True,,True,True,True
447,0.05,False,1,oettli-prager,lu,16393.89769454412,15622.945244833767,0.049347446184341864,0.1522436197847128,True,,True,True,True
447,0.05,False,1,oettli-prager,lsmr,808.1648103506549,15622.945244833767,0.9482706495039468,1.363696990069002,True,,True,True,True
447,0.05,False,1,oettli-prager,cg,1.6795370316262634e+17,15622.945244833767,10750450733234.826,0.6641297438181937,True,,True,True,True
447,0.05,False,1,oettli-prager,gmres,39.487622074806396,15622.945244833767,0.9974724598047309,0.6049735359847546,True,,True,True,True
447,0.05,False,1,oettli-prager,direct,16393.897694544117,15622.945244833767,0.04934744618434163,0.730852753855288,True,,True,True,True
447,0.05,False,1,monte-carlo,auto,4077.6044255696015,15622.945244833767,0.7389989940009555,9.635341495275497,True,,True,True,True
447,0.05,False,1,monte-carlo,lu,5353.563149880991,15622.945244833767,0.6573268954103696,9.649394431617111,True,,True,True,True
447,0.05,False,1,monte-carlo,lsmr,5424.682264130961,15622.945244833767,0.6527746734614712,9.651480560190976,True,,True,True,True
447,0.05,False,1,monte-carlo,cg,4875.126057578376,15622.945244833767,0.6879508965065025,9.637533630244434,True,,True,True,True
447,0.05,False,1,monte-carlo,gmres,3017.740214144592,15622.945244833767,0.8068392248163,9.652049626223743,True,,True,True,True
447,0.05,False,1,monte-carlo,direct,4875.127152887833,15622.945244833767,0.6879508263974776,9.616774360183626,True,,True,True,True
447,0.05,False,2,power,,8.81016335505769,657.3709648185844,0.9865978818253874,2.8494190578348935,True,,True,True,True
447,0.05,False,2,lanczos,,243.51410017385518,657.3709648185844,0.6295636509576322,0.07329208822920918,True,,True,True,True
447,0.05,False,2,lanczos_unsym,,106.24541217839965,657.3709648185844,0.8383783010438857,0.09909245185554028,True,,True,True,True
447,0.05,False,2,golub-kahan,,124.4812524280604,657.3709648185844,0.8106377386740625,0.3721878216601908,True,,True,True,True
447,0.05,False,2,svds,,156.00395095191953,657.3709648185844,0.7626850601851998,0.09711468406021595,True,,True,True,True
447,0.05,False,2,eigsh,,82.29019415892895,657.3709648185844,0.874819244288286,0.09919044701382518,True,,True,True,True
447,0.05,False,2,lobpcg,,1.0092117843376935,657.3709648185844,0.9984647758444637,0.22534546395763755,True,,True,True,True
290,0.05,False,1,hager,auto,16617.894464623467,12227.8492563075,0.35902022639438796,0.0815073112025857,True,,True,True,True
290,0.05,False,1,hager,lu,16617.894464623467,12227.8492563075,0.35902022639438796,0.07532206969335675,True,,True,True,True
290,0.05,False,1,hager,lsmr,415.4136090091944,12227.8492563075,0.9660272546461994,0.17082903627306223,True,,True,True,True
290,0.05,False,1,hager,cg,0.0,12227.8492563075,1.0,0.12378466688096523,True,,True,True,True
290,0.05,False,1,hager,gmres,37.49841569683124,12227.8492563075,0.9969333596685052,0.35427633207291365,True,,True,True,True
290,0.05,False,1,hager,direct,16617.894464622375,12227.8492563075,0.3590202263942987,0.09338522469624877,True,,True,True,True
290,0.05,False,1,hager-higham,auto,16617.894464623474,12227.8492563075,0.3590202263943886,0.08290665782988071,True,,True,True,True
